Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2151;206;155;15694;397;1219;63;29;13;45;666;0;20638
Fahrrad;1456;4405;269;180;32182;270;2388;193;51;11;51;636;373;42465
Mofa, Moped;182;209;110;49;6339;44;455;33;24;5;14;145;33;7642
Motorrad;222;324;72;151;8392;56;582;44;31;4;12;180;60;10130
Personenkraftwagen;5420;10535;3215;2697;48620;417;3889;559;126;49;101;606;59;76293
Kraftomnibus, Obus;376;250;47;45;1647;20;153;10;4;0;5;80;41;2678
Liefer- und Lastkraftw.;226;573;218;183;2202;35;272;39;15;3;4;46;7;3823
Sattelschlepper;21;50;19;24;314;7;40;17;0;0;2;5;0;499
Landwirt. Zugmaschine;4;16;15;10;95;1;5;1;3;0;0;3;0;153
andere Zugmaschine;3;8;2;1;40;0;1;0;0;0;0;0;1;56
LKW mit Spezialaufbau;9;14;9;3;78;2;3;1;0;1;4;2;0;126
anderes Fahrzeug;377;276;54;39;1160;15;114;17;3;0;3;57;11;2126
sonstige Person;0;68;12;14;190;60;35;2;8;0;1;24;1;415
Unfälle zwischen zwei Beteiligten insg.;8296;18879;4248;3551;116953;1324;9156;979;294;86;242;2450;586;167044
